N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
91,대우건설,"17,190","하락1,920",-10.05%,"5,000","71,446","415,623",11.52,"35,831,992",-7.83,-23.89,
92,삼성E&A,"35,300",보합0,0.00%,"5,000","69,188","196,000",49.86,"6,468,880",11.21,13.76,
93,KODEX 코스닥150,"18,930","하락1,160",-5.77%,0,"69,132","365,200",0.70,"30,198,947",N/A,N/A,
94,LG이노텍,"289,000","하락7,000",-2.36%,"5,000","68,398","23,667",32.37,"257,092",20.04,6.14,
95,삼성카드,"58,700","하락1,000",-1.68%,"5,000","68,009","115,859",5.56,"135,244",10.53,7.45,
96,한국타이어앤테크놀로지,"54,200","하락3,200",-5.57%,500,"67,140","123,875",38.34,"279,856",7.06,10.79,
97,LG유플러스,"15,110",하락710,-4.49%,"5,000","64,947","429,828",41.78,"881,806",12.51,6.01,
98,한미약품,"500,000","하락60,000",-10.71%,"2,500","64,055","12,811",14.37,"101,241",54.99,11.89,
99,HD건설기계,"129,600","하락3,400",-2.56%,"5,000","62,174","47,974",21.33,"320,481",23.09,6.18,
100,한전기술,"161,500","하락14,000",-7.98%,200,"61,725","38,220",14.72,"239,993",72.29,14.20,
